# name, ra, dec, mjd_ztf1, mjd_ztf2, mjd_hetdex, alerce_type, alerce_prob, spec_type, s/n, chi^2, redshift, classif
ZTF18aamuabw 210.80196812857142 54.29842824285714 58258.2 58331.2 59022 bogus 0.62522405 SB6 8.326021 0.584202 0.000000 gx
ZTF18aamurkg 220.8440008 51.2054076 58462.5 58978.2 58226 VS 0.639654 K4V 8.639305 1.097030 0 star
ZTF18aamvtzs 221.14212175000003 50.751135899999994 58311.2 59423.3 58608 AGN 0.4089314 G8V 14.484504 0.994297 0 star
ZTF18aamvyxb 217.38576160000002 52.04794535 58285.2 59383.2 58875 VS 0.677146 G8V 9.659448 0.891038 0 star
ZTF18aamweit 225.73408594000003 51.20308328 58526.5 59423.3 58224 VS 0.35881808 G2V 16.533100 1.192747 0 star
ZTF18aamwfsn 209.40355515000002 51.258931999999994 58469.5 59206.5 58225 VS 0.4918323 K4III 8.688831 1.037427 0 star
ZTF18aamwxva 197.71397844 51.32805456 58660.2 59383.2 58558 AGN 0.5011779 G0V 16.814657 1.207848 0 star
ZTF18aamxfhr 208.0830922125 51.270182212499996 58431.5 59550.5 58229 VS 0.6043572 K7V 7.551226 0.828942 0 star
ZTF18aamzbrq 241.03936446666668 53.88662823333333 58850.5 58915.5 58959 AGN 0.4365283 E 17.465004 2.472227 0.034000 gx
ZTF18aanaupl 228.4361659 51.3338338 58307.2 58331.2 58612 bogus 0.770459 pickles_uk_108 1.657322 3.820148 0 low
ZTF18aanauyz 224.1744823 52.131087175 58288.3 58547.5 58587 SN 0.57585627 -- 0.001 0.001 0 low
ZTF18aanauzm 223.29275933333335 51.26208136666667 58288.3 58304.2 58251 bogus 0.71693486 -- 0.001 0.001 0 low
ZTF18aanaway 223.43617715 52.120711400000005 58311.2 58331.2 58605 bogus 0.6380498 -- 0.001 0.001 0 low
ZTF18aanaway 223.43617715 52.120711400000005 58311.2 58331.2 58880 bogus 0.6380498 -- 0.001 0.001 0 low
ZTF18aanawlq 221.1112581 51.942475333333334 58660.2 59341.3 58686 VS 0.67522407 G5V 13.141639 0.872044 0 star
ZTF18aanbvgb 219.23747036666668 51.9491689 58294.2 58322.3 58930 SN 0.5564065 F5V 11.915330 1.184531 0 star
ZTF18aancaje 208.2850082 55.29894532000001 58913.5 59641.4 59019 VS 0.44582906 G5III 17.768136 1.664642 0 star
ZTF18aannaio 237.0124526142857 51.25597951428572 58606.4 59345.4 58251 bogus 0.4633171 F0V 13.715394 0.474887 0 star
ZTF18aannaio 237.0124526142857 51.25597951428572 58606.4 59345.4 58261 bogus 0.4633171 F0V 13.715394 0.474887 0 star
ZTF18aanykpn 268.5276055 64.9362293 58435.1 59016.3 58670 VS 0.6686536 G2V 17.516574 0.949490 0 star
ZTF18aaobgyp 181.3684468 51.47986928 58269.2 58282.2 58932 AGN 0.6056218 S0 13.546221 1.882791 0.085000 gx
ZTF18aaodgjg 193.97182203076923 55.29043702307691 58242.2 58977.2 59014 VS 0.62928087 F8IV 24.689995 2.667689 0 star
ZTF18aaofeia 268.67012244999995 64.99200375 58633.3 58651.5 58665 bogus 0.7044603 F6V 16.576937 0.957207 0 star
ZTF18aaogxxb 223.56318348 51.73874378000001 58282.2 58575.4 58516 bogus 0.72214216 -- 0.001 0.001 0 low
ZTF18aaohetx 213.2686753 51.29841786666666 58272.3 58377.1 58280 bogus 0.47483054 pickles_uk_108 0.783562 0.971302 0 low
ZTF18aaohetx 213.2686753 51.29841786666666 58272.3 58377.1 58308 bogus 0.47483054 pickles_uk_108 0.783562 0.971302 0 low
ZTF18aaoiwgx 225.39440259999998 51.409321975 58282.2 58307.2 58253 bogus 0.41879913 pickles_uk_33 0.864965 6.974613 0 low
ZTF18aaoiwhj 226.82238415 51.639041969999994 58294.2 58337.2 58304 bogus 0.6302962 pickles_uk_74 1.324174 2.407637 0 low
ZTF18aaokbez 231.65657915909088 52.54152580454545 58278.3 58572.4 59000 bogus 0.47025943 pickles_uk_30 0.689855 1.995445 0 low
ZTF18aaokdjy 225.4534438307692 51.337348369230774 58272.3 58334.2 58253 bogus 0.47724995 pickles_uk_79 1.322517 1.443183 0 low
ZTF18aaokdka 225.7391528 51.716792775 58288.2 58304.2 58635 bogus 0.7499567 pickles_uk_47 1.876979 2.212398 0 low
ZTF18aaokfcr 219.41404133333336 51.430653 58272.2 58282.3 58906 bogus 0.5609266 pickles_uk_33 1.162664 4.687707 0 low
ZTF18aaokfej 221.72810146666666 51.38717423333333 58272.2 58282.3 58253 bogus 0.6275056 pickles_uk_121 0.524412 2.311871 0 low
ZTF18aaokffq 220.626767825 51.2708507 58272.2 58487.6 58695 bogus 0.763436 -- 0.001 0.001 0 low
ZTF18aaokfft 220.90062179999998 51.395987899999994 58307.2 58337.2 58517 bogus 0.56380683 pickles_uk_109 0.580562 1.079214 0 low
ZTF18aaoroci 178.75287493529413 51.956095382352935 58887.4 58917.3 58633 bogus 0.5165081 pickles_uk_59 1.140229 0.796975 0 low
ZTF18aaorque 194.0662369 55.2930078 58242.3 58272.2 59014 AGN 0.70104754 Sa 6.914413 1.329879 0.197000 gx
ZTF18aaoszhl 202.17635201666667 55.36523401666667 58465.5 58480.6 58955 SN 0.65728384 Sa 12.448928 3.263869 0.101000 gx
ZTF18aaotwea 238.5867073 53.920894649999994 59311.4 59324.4 58990 bogus 0.4368164 G5III 11.559570 19.922851 0 star
